context,seed,training_pair,w_A_from_A,w_A_from_B,w_B_from_A,w_B_from_B
AB_context,6,225,0.12440272405857383,0.0,0.20490873891614023,0.12434616650557269
AB_context,6,250,0.12440515182914089,0.0,0.20286371437981268,0.124343197466914
AB_context,6,275,0.12440508430207929,0.0,0.20529975536492556,0.1243422725117696
AB_context,6,300,0.12440408667107812,0.0,0.20808236548686637,0.12434330982765097
AB_context,6,325,0.12440541891739056,0.0,0.20701752812305088,0.12434140436517631
AB_context,6,350,0.12440784356806332,0.0,0.21473306253197325,0.12433515461753995
AB_context,6,375,0.1244015287099013,0.0,0.2023632421860065,0.1243491767899522
AB_context,6,400,0.12440717154087755,0.0,0.21137104419154423,0.12433736785020384
AB_context,7,0,0.0,0.0,0.0,0.0
AB_context,7,25,0.12308364533446603,0.007455839610066251,0.14331427107014763,0.12255756616356661
AB_context,7,50,0.12438826052545887,0.0023357257942745926,0.19366875278005577,0.12432340195491855
AB_context,7,75,0.12440466410125994,0.0,0.20750347253131457,0.12434176580348487
AB_context,7,100,0.12440728594302364,0.0,0.2126109131629663,0.12433676174320023
AB_context,7,125,0.12439185997557065,0.0376907492622556,0.1816021856158022,0.12436752182323169
AB_context,7,150,0.12440203963232795,0.002370417335507702,0.19630978450231532,0.12434927892590071
AB_context,7,175,0.12440582151395953,0.0,0.20498566614659375,0.12434123864120966
AB_context,7,200,0.12439749626147475,0.020182927058517354,0.196265105387755,0.12435681074808728
AB_context,7,225,0.12440390907320953,0.0,0.2078776465488834,0.12434346577455062
AB_context,7,250,0.12440315490996805,0.002521199688767414,0.20818494602036147,0.1243444660728777
AB_context,7,275,0.12439476507765078,0.02013485784675283,0.1913004523833167,0.12436110006210144
AB_context,7,300,0.12440322386828892,0.0,0.19978993645805024,0.12434746679289754
AB_context,7,325,0.12440720659329654,0.0,0.20818961218665755,0.12433803129348125
AB_context,7,350,0.12438830887832614,0.039424994178450884,0.1867801989493326,0.12437074773907858
AB_context,7,375,0.12440662029673068,0.0,0.20884082298483087,0.12433890777184498
AB_context,7,400,0.12440745234847345,0.0,0.2142350425905358,0.12433602060100271
AB_context,8,0,0.0,0.0,0.0,0.0
AB_context,8,25,0.12313248295689311,0.0,0.16586920000747515,0.12245854636508684
AB_context,8,50,0.12439499759259791,0.0,0.20385188248430125,0.12430981930882233
AB_context,8,75,0.12440434336362823,0.0,0.20660031380911165,0.12434264616041842
AB_context,8,100,0.12440587656001562,0.0,0.21226353342732848,0.12433920763655512
AB_context,8,125,0.12440703616442768,0.0,0.21117540802241178,0.12433769875903074
AB_context,8,150,0.12440212116111635,0.0,0.20592547128052227,0.12434696363319278
AB_context,8,175,0.1243910892732419,0.029014160816989227,0.18904430101495168,0.12436660751087125
AB_context,8,200,0.12440500447752072,0.0,0.20600599234930853,0.12434222788836365
AB_context,8,225,0.1244052421011894,0.0,0.20689656271737475,0.1243420426256768
AB_context,8,250,0.12439064636073907,0.027543953991331638,0.18774299015642226,0.12436722068170017
AB_context,8,275,0.12440586364892305,0.0,0.20596719814991482,0.12434084437701161
AB_context,8,300,0.12440642053193413,0.0,0.20468011515867837,0.12434074757519921
AB_context,8,325,0.1243936894139056,0.02227724181411743,0.19068402935199655,0.12436251451062855
AB_context,8,350,0.12439959771466277,0.013317783426346859,0.19957795941992573,0.12435141513298709
AB_context,8,375,0.12440028763868931,0.009484589767554667,0.19751762899341757,0.12435262419888453
AB_context,8,400,0.12439693245841449,0.010000981668945499,0.19316120058333747,0.12435767961525232
AB_context,9,0,0.0,0.0,0.0,0.0
AB_context,9,25,0.12317405896780328,0.0,0.1750413664517599,0.12235092368168568
AB_context,9,50,0.12439220405302052,0.0,0.2018193307547592,0.1243138760425155
AB_context,9,75,0.12440457878848733,0.0,0.20618175754110807,0.12434264540721239
AB_context,9,100,0.12440083123630546,0.00784592060702961,0.20425388161504973,0.12434898086894328
AB_context,9,125,0.12440121597236974,0.00023755810404610422,0.1996606189607027,0.12435042331155821
AB_context,9,150,0.12438529180757633,0.0534374505482289,0.18052025743415326,0.12437497109202438
AB_context,9,175,0.12440033599160612,0.00778897483348407,0.19451729199496587,0.12435237888076908
AB_context,9,200,0.12439201510405436,0.025912789427702063,0.1863472481987316,0.12436488163299204
AB_context,9,225,0.12440158240015604,0.00453676689725867,0.19775429854749946,0.12435034870870926
AB_context,9,250,0.12440047292408242,0.0035031824012180667,0.19784174548673905,0.12435192133411972
AB_context,9,275,0.12440404815874015,0.0,0.2022593230540211,0.12434508791037686
AB_context,9,300,0.12440105369176585,0.009551522344141365,0.20006443051583497,0.12435086704190493
AB_context,9,325,0.12440163014131153,0.002448371464288569,0.2024530420841039,0.1243483624856967
AB_context,9,350,0.1243973537803516,0.01331769862519634,0.20153563138083638,0.12435449932159598
AB_context,9,375,0.12440462304816965,0.0,0.20815387433826477,0.12434230030403355
AB_context,9,400,0.12440394434705304,0.0,0.20951302042789072,0.12434303381131792
AB_context,10,0,0.0,0.0,0.0,0.0
AB_context,10,25,0.12307941863695342,0.013283544576942124,0.14552828285899178,0.12256237882354033
AB_context,10,50,0.1243940599437901,0.0,0.20211863789616896,0.12431216197979582
AB_context,10,75,0.12439575220454059,0.01331772618625974,0.19677151611296315,0.12435742930437996
AB_context,10,100,0.12439870352998451,0.010437942741359034,0.1940706904599191,0.12435533119310174
AB_context,10,125,0.12440235462658346,0.0040758953973909886,0.19983120671689023,0.12434890405289058
AB_context,10,150,0.12440300312495915,0.0,0.20548194899643266,0.12434557156325939
AB_context,10,175,0.12440807953965854,0.0,0.21532614529791658,0.12433451768852916
AB_context,10,200,0.12440777499115807,0.0,0.21558791332312283,0.12433508845193139
AB_context,10,225,0.1244047698342091,0.0,0.20356596141796834,0.1243440475088114
AB_context,10,250,0.12439512035629796,0.02124459323883213,0.19271836418069166,0.12436046874129118
AB_context,10,275,0.1243989749241665,0.01576386308920712,0.18792224173762428,0.12435655856085791
AB_context,10,300,0.12440337073609244,0.0,0.20461662376740858,0.12434566369750791
AB_context,10,325,0.12440639390548831,0.0,0.20997839576357746,0.1243389728029005
AB_context,10,350,0.12440672300832874,0.0,0.20775908142678304,0.12433954816579061
AB_context,10,375,0.12440118374591053,0.007836718122191867,0.20266962884700904,0.12434867769023628
AB_context,10,400,0.12440280717860501,0.00017879373430111734,0.20050627484774103,0.12434819504390973
AB_context,11,0,0.0,0.0,0.0,0.0
AB_context,11,25,0.12310649609952126,0.0028295123000614602,0.1516369750217693,0.12250778194031721
AB_context,11,50,0.12438920016570111,0.007814044550050669,0.1988458434676906,0.12431972145170474
AB_context,11,75,0.1243955127553488,0.020157459151173382,0.19630354257974789,0.12435797165096359
AB_context,11,100,0.12440166379594564,0.0024828806472437723,0.20518518156793883,0.12434768601643414
AB_context,11,125,0.12440565786502845,0.0,0.20830128459599268,0.12434075770325907
AB_context,11,150,0.12439778630779304,0.0077863598762966555,0.19411763552893624,0.12435621886444512
AB_context,11,175,0.12440288651305079,0.0,0.20199810572693086,0.12434657239016189
AB_context,11,200,0.12440779548594855,0.0,0.21292344740010558,0.1243356961937109
AB_context,11,225,0.12440194846853884,0.0,0.19873382162166198,0.12434942327784108
