preset,plasticity,n_fig,seed,w_ff,w_gg,w_fg,w_ff_over_gg,assembly_drive,E_fig_figure,E_fig_cloud,E_gnd_figure,E_gnd_cloud,tm_fig_figure,tm_fig_cloud,tm_gnd_figure,tm_gnd_cloud,rec_fig_figure,rec_fig_cloud,rec_gnd_figure,rec_gnd_cloud,inh_fig_figure,inh_fig_cloud,inh_gnd_figure,inh_gnd_cloud,net_fig_figure,net_fig_cloud,net_gnd_figure,net_gnd_cloud
selective,plastic,6,5,0.011964069976240194,0.008288549917101838,0.007823752473214448,1.4434454875580374,0.05982034988120097,2.551838608264804,2.7022715096889764,2.6151777400660063,2.707519885279467,7.336537038473008,7.5067877407680115,7.235998816576934,7.528259385365528,0.309770638372868,0.22632934766424956,0.20176133978757887,0.2118675857882441,4.03570171606291,3.951779483752407,3.7839569885146815,3.948137236020661,3.6106059607829675,3.781337604679853,3.653803167849832,3.791989735133113
selective,plastic,6,6,0.011829254856068203,0.008299221784802586,0.007826834628203732,1.425345070031718,0.05914627428034101,2.6764010455492646,2.685846220734288,2.6257297224287477,2.7142338110515207,7.583257917424236,7.490164850193544,7.262408620972184,7.53144041504042,0.3156908164138102,0.22436346830923223,0.20428244338471532,0.2123989006265969,4.04930007614149,3.9537345117673146,3.8020384242781473,3.9573936725642476,3.849648657696555,3.7607938067354616,3.664652640078752,3.7864456431027684
selective,plastic,6,7,0.011009738100520586,0.00830748098915021,0.007861763867721795,1.3252799633125367,0.05504869050260293,2.338464623733065,2.7922035901084516,2.6598760495153084,2.71323363341945,6.983999432253953,7.63694159692964,7.281001394421404,7.547182056074318,0.287628033487429,0.22062752089561039,0.20481080495651977,0.21306023269712568,3.9261649384657438,3.9797070499129736,3.7794032943131155,3.970003265944244,3.345462527275639,3.877862067912279,3.7064089050648064,3.790239022827199
selective,plastic,8,0,0.011577096004769357,0.008337425863643435,0.007939123126389688,1.3885695889966443,0.0810396720333855,2.574293009525463,2.735027829076174,2.6529728695702905,2.7113323276986967,7.398941128173037,7.534922823785612,7.27993035528642,7.542506641207612,0.36875760130231583,0.23762279008682582,0.2035799567678398,0.21023208475745583,4.055480118769312,3.9694803450436473,3.7988805134621577,3.9748716299703957,3.712218610706041,3.80306526882879,3.684629798592101,3.7778670959946723
selective,plastic,8,1,0.01159184115610054,0.008363969899138634,0.007725306265634517,1.3859257381227938,0.08114288809270379,2.639185997542693,2.6087607914735202,2.636957416582248,2.7038825776196775,7.573529432852181,7.311577153224117,7.2652650803369045,7.4933965791864825,0.3648639977711524,0.22756751333472117,0.2006897908042659,0.20840882073051575,4.135522335920373,3.918633779885579,3.783659521682529,3.943247803875825,3.802871094702961,3.6205108866732596,3.6822953494586406,3.7585575960411743
selective,plastic,8,2,0.011577375273075436,0.008343532425442017,0.007746294914997836,1.3875867777264734,0.08104162691152805,2.571449541032555,2.6723960411165613,2.60810222430093,2.709008210950536,7.436448495450745,7.4344085470696175,7.218031807326648,7.50963377380198,0.3550334393441136,0.23232639405544173,0.20059011133651664,0.20951585328568037,4.148720571634832,3.934428488547997,3.8033523010118437,3.944675572279246,3.6427613631600284,3.7323064525770624,3.615269617651321,3.7744740548084144
selective,plastic,8,3,0.011518972594301981,0.008314488873167632,0.00785493046926886,1.3854095868088538,0.08063280816011387,2.4801537895190116,2.678190120587627,2.61757813030228,2.6994050901845332,6.980981874727594,7.446477658494468,7.223798632822378,7.508485007032912,0.3555593330366098,0.23458898849589688,0.20047143841425186,0.20906676861183554,4.082888800911508,3.935113455164661,3.7805281137640265,3.948498293375343,3.253652406852696,3.745953191825702,3.643741957472604,3.7690534822694053
selective,plastic,8,4,0.01089361276255973,0.008345521660968183,0.0077817574949300234,1.3053243649835469,0.0762552893379181,2.285470117265388,2.7719744350070448,2.6638511106329235,2.7001111473733435,6.866202547067697,7.659478873809614,7.28142245285146,7.511945776888578,0.3217211289999063,0.2267867575482986,0.20332580337167916,0.21098024122298545,4.04217097343734,3.9693974295704173,3.742976265480466,3.958795304743023,3.1457527026302636,3.916868201787495,3.7417719907426736,3.7641307133685418
selective,plastic,8,5,0.011631836108533288,0.008335108054669128,0.007743231505951067,1.3955231332624911,0.08142285275973302,2.5144605153777944,2.690685409673679,2.6347173904134515,2.7112689234094445,7.3080721813185,7.482107506382725,7.243128571452495,7.540337274550611,0.34906295827128836,0.2327980246684731,0.19913712422648874,0.20969577107268686,4.141487987823903,3.948353616089025,3.760092639551295,3.9530777235014796,3.5156471517658847,3.7665519149621716,3.682173056127689,3.7969553221218186
selective,plastic,8,6,0.011547728208880361,0.008349169084285953,0.007725641086665437,1.3830990955272957,0.08083409746216252,2.624496750159581,2.6731728007890556,2.6465404860583424,2.7176523717980947,7.528153306499296,7.462252040682398,7.276867369726074,7.538418291394781,0.3573554135853099,0.23076897758298243,0.2021129326365684,0.21005519571533196,4.151280558500143,3.955910787691675,3.7831042660387197,3.9570063710174823,3.7342281615844635,3.7371102305737067,3.6958760363239236,3.7914671160926305
