deviant_position,roving_block,repetition,mean_single_block_gfp_0_180_ms
1,27,6,1.08319116052936
1,27,7,1.0416396071771417
1,27,8,1.4081902684639593
1,27,9,1.3325970787510037
1,27,10,1.209094070001559
1,27,11,1.9646588748417697
1,27,12,1.3810741098807375
1,27,13,1.6045628881461327
1,27,14,1.7753874323107681
1,27,15,1.073286818184287
1,28,1,0.982730725474789
1,28,2,1.5649228803665656
1,28,3,2.0873439600083703
1,28,4,1.0079167567023188
1,28,5,1.2683595103007546
1,28,6,1.3303144269179352
1,28,7,1.271374183387831
1,28,8,0.8430624429615934
1,28,9,1.7173619368309263
1,28,10,1.1423380945583501
1,28,11,1.6946258111548866
1,28,12,1.2409406254290214
1,28,13,1.755759191415228
1,28,14,0.9997633769441047
1,28,15,1.0499571666002439
1,29,1,1.306429300082399
1,29,2,0.9683349475848405
1,29,3,2.1297652277970496
1,29,4,1.1855456397389756
1,29,5,1.4314507924985087
1,29,6,1.4079993093212573
1,29,7,0.9829620869099478
1,29,8,1.3007436901251686
1,29,9,1.1555706943185913
1,29,10,1.076058874126417
1,29,11,1.1797797589407626
1,29,12,1.1747237303093496
1,29,13,1.6157413404961543
1,29,14,1.470601884974942
1,29,15,1.3222119964867156
1,30,1,1.4761512267811097
1,30,2,1.3727024938217327
1,30,3,1.6198730241246417
1,30,4,1.3900593472758398
1,30,5,1.0598288703092824
1,30,6,1.2508328251906806
1,30,7,1.3782488787059712
1,30,8,1.121710189564244
1,30,9,1.1427096475664495
1,30,10,1.3842059941555611
1,30,11,1.113887053341731
1,30,12,1.0555640171686789
1,30,13,1.1715376872600713
1,30,14,1.7892933063290082
1,30,15,1.3707550737924787
1,31,1,1.3224792547057063
1,31,2,1.1563917610580552
1,31,3,1.3764811744143293
1,31,4,1.061433056624651
1,31,5,1.4330424131565092
1,31,6,1.3954046433834497
1,31,7,1.3055820132188956
1,31,8,0.8125115957113632
1,31,9,0.8849562244635254
1,31,10,1.844315782326012
1,31,11,1.3192236858138406
1,31,12,1.2612052745927922
1,31,13,1.0860871783686128
1,31,14,1.1060633359787446
1,31,15,1.4126722593646839
1,32,1,1.4140213768212881
1,32,2,1.282887581999422
1,32,3,1.3881181203712392
1,32,4,1.265027300449355
1,32,5,1.5686559908757147
1,32,6,1.2365111988852575
1,32,7,1.619860920760878
1,32,8,1.4530953413243886
1,32,9,1.3180691012662347
1,32,10,1.2215754616647747
1,32,11,1.3367835046655638
1,32,12,1.608232514437168
1,32,13,1.1705661643208674
1,32,14,1.588105910306019
1,32,15,1.5350169567550496
1,33,1,1.1749019466866077
1,33,2,1.482671163596046
1,33,3,1.8045889753240514
1,33,4,1.1730706804028235
1,33,5,1.3088333063828603
1,33,6,1.4261297604641052
1,33,7,1.2628777913904587
1,33,8,1.8662612291511733
1,33,9,1.3056664908849143
1,33,10,1.035489708563512
1,33,11,1.0840403528811406
1,33,12,1.4175653444235905
1,33,13,1.3076601755800767
1,33,14,1.0366940200707384
1,33,15,1.2094578961267972
1,34,1,1.5132710104462086
1,34,2,1.646514188891742
1,34,3,1.8905070509908761
1,34,4,1.501784806779266
1,34,5,1.068394842581295
1,34,6,1.393169290972547
1,34,7,1.3842979749004538
1,34,8,1.7956570989576912
1,34,9,1.2019122147171004
1,34,10,1.3189217353577518
1,34,11,1.3601402485167304
1,34,12,1.1132441799988138
1,34,13,1.244906575903302
1,34,14,0.8680527974161351
1,34,15,0.9758315342918457
1,35,1,1.5058178635589892
1,35,2,1.7110623521607438
1,35,3,1.1669208821332264
1,35,4,1.2158387972309954
1,35,5,1.1120508063902985
1,35,6,1.5224112419181703
1,35,7,1.547762571556584
1,35,8,1.5129742400227675
1,35,9,1.5365771939885924
1,35,10,1.2278698943129567
1,35,11,1.3737740983358815
1,35,12,1.2655016188139048
1,35,13,1.200592128620531
1,35,14,1.70919752528854
1,35,15,0.8626556798881414
1,36,1,1.3195402017371125
1,36,2,1.83914777572737
1,36,3,1.4479361628657135
1,36,4,1.7530113919051928
1,36,5,1.7030991494078256
1,36,6,1.4314868399334257
1,36,7,1.5732066485644522
1,36,8,1.8067354220787497
1,36,9,1.4867268808407168
1,36,10,1.3611237324569714
1,36,11,1.317624557152084
1,36,12,1.5750139631670792
1,36,13,1.419496459897452
1,36,14,0.8254141133731329
1,36,15,1.3098732811855403
1,37,1,1.1025691636848352
1,37,2,0.7454607033828982
1,37,3,1.038768223774805
1,37,4,1.4962602934694205
1,37,5,2.1469620190443046
1,37,6,1.4377552969330434
1,37,7,1.3505479160605798
1,37,8,0.8744473642393784
1,37,9,1.445165842615632
1,37,10,1.5252773996367657
1,37,11,1.3008296093875695
1,37,12,1.180635725251396
1,37,13,1.318421493861376
1,37,14,1.32631398566952
1,37,15,1.3370787045861041
1,38,1,1.2602331673597535
1,38,2,1.2799536584017563
1,38,3,1.2780387230358736
1,38,4,1.1336140479180987
1,38,5,1.3013556521135168
1,38,6,1.7270554293947835
1,38,7,1.047603556628883
1,38,8,1.7022153072267747
1,38,9,1.2296403446702169
1,38,10,1.379586345434798
1,38,11,1.1896694768562015
1,38,12,1.3269620665449091
1,38,13,1.171169059532545
1,38,14,1.4426813416629491
1,38,15,1.4196929199593273
1,39,1,1.51865898387272
1,39,2,1.582128552311554
1,39,3,1.0534038554030256
1,39,4,1.619336240647493
1,39,5,1.3117185005210936
1,39,6,1.1368278734475186
1,39,7,1.0379665547850285
1,39,8,1.104994263821973
1,39,9,1.27098949631408
1,39,10,1.4828799293008095
1,39,11,1.2296536030404877
1,39,12,1.280234727251064
1,39,13,1.2926778404960413
1,39,14,1.3307602289332772
1,39,15,0.8603695835794658
1,40,1,1.3858236217680096
1,40,2,1.4224702351675316
1,40,3,1.88895258665291
1,40,4,1.5498463274850398
1,40,5,0.9253847181162284
1,40,6,1.7166930697911467
1,40,7,1.6795411570748058
1,40,8,1.4518386271994315
1,40,9,1.323410211517268
1,40,10,1.757798252495949
1,40,11,1.3449400416920863
1,40,12,1.4757951977133068
1,40,13,1.4841366673432592
1,40,14,1.0630079096431952
1,40,15,1.5945999945002594
1,41,1,1.3785166786602512
1,41,2,1.3341370523819027
1,41,3,1.1132958930364627
1,41,4,0.5846078548021132
1,41,5,0.7540551904441208
1,41,6,1.3318581322019738
1,41,7,1.3803447499202883
1,41,8,1.1538059369990292
1,41,9,0.9794836087404916
1,41,10,0.8307684374911735
1,41,11,1.031104203752075
1,41,12,1.7353865489050124
1,41,13,1.6415038271154532
1,41,14,1.1301522296613453
1,41,15,1.538615281986717
1,42,1,2.0322881002634876
1,42,2,1.1969228251962958
1,42,3,1.7793593763737447
1,42,4,1.6526606359798621
1,42,5,1.3911019046804884
1,42,6,1.1974228101780968
1,42,7,1.7035464935219253
1,42,8,1.5690394769825187
1,42,9,2.0121344674461863
1,42,10,1.4613580724122814
1,42,11,0.9006464663138777
1,42,12,1.8075724024910935
1,42,13,1.6893679538593895
1,42,14,1.6188934328602294
1,42,15,1.5301271092423474
